Cargo Graph:
Source port         Destination port    Quantity            
-------------------------------------------------
 Tuen Mun            Singapore             67               
 Tuen Mun            Mumbai                23               
 Tuen Mun            Suez                  15               
 Tuen Mun            Ashdod                44               
-------------------------------------------------
 Mumbai              Singapore             67               
 Mumbai              Eilat                 23               
 Mumbai              Suez                  15               
 Mumbai              Ashdod                44               
-------------------------------------------------
 New York            Singapore             117              
 New York            Suez                  46               
 New York            Ashdod                30               
 New York            Bangkok               88               
 New York            Tuen Mun              104              
 New York            Mumbai                50               
 New York            Rio De Janeiro        67               
-------------------------------------------------


Time Graph:
Source port         Destination port    Time in minutes     
-------------------------------------------------------
 Tuen Mun            Singapore             12353            
-------------------------------------------------------
 Tuen Mun            Mumbai                15690            
-------------------------------------------------------
 Singapore           Mumbai                9990             
-------------------------------------------------------
 Singapore           Eilat                 9990             
-------------------------------------------------------
 Singapore           Suez                  9990             
-------------------------------------------------------
 Mumbai              Suez                  6645             
-------------------------------------------------------
 Mumbai              Singapore             9017             
-------------------------------------------------------
 Suez                Ashdod                5298             
-------------------------------------------------------
 Ashdod              Bangkok               1260             
-------------------------------------------------------
 Eilat               Suez                  6645             
-------------------------------------------------------
 New York            Singapore             17657            
-------------------------------------------------------
 New York            Rio De Janeiro        17657            
-------------------------------------------------------
 Bangkok             Tuen Mun              12740            
-------------------------------------------------------
 Rio De Janeiro      Suez                  9990             
-------------------------------------------------------
